handle,type,packsize,cost,razorCost,url
1,pp,1,16.74,16.74,https://www.ebay.co.uk/itm/402218751223
1,pp,1,16.74,16.74,https://www.onbuy.com/gb/gillette-fusion-proglide-power-mens-razor-with-flexball-technology~c9761~p2693647/
1,pp,1,17.5,17.5,https://www.ebay.co.uk/itm/223885572157
1,pp,1,17.8,17.8,https://www.amazon.co.uk/dp/B07K35HNC1
0,pc,1,17.83,17.83,https://www.amazon.co.uk/dp/B01BNREXG0
1,pp,1,17.88,17.88,https://www.ebay.co.uk/itm/323988686021
1,pp,1,17.89,17.89,https://www.ebay.co.uk/itm/231784686755
1,pp,1,17.99,17.99,https://www.ebay.co.uk/itm/264600195989
1,pp,1,17.99,17.99,https://www.amazon.co.uk/dp/B06XYKMS23
1,pp,1,18.24,18.24,https://www.ebay.co.uk/itm/253428229517
1,pp,1,18.29,18.29,https://www.amazon.co.uk/dp/B072VMVHQ7
0,op,1,18.53,18.53,https://www.amazon.co.uk/dp/B00XDXGCDU
1,pp,1,19.19,19.19,https://www.perfumespremium.co.uk/gillette-maq-fus-pow-progl-flexball-ok
1,pp,1,19.55,19.55,https://www.amazon.co.uk/dp/B07WF9KYHG
1,pp,1,19.95,19.95,https://www.amazon.co.uk/dp/B0759PY46X
1,pp,1,20.25,20.25,https://www.amazon.co.uk/dp/B00TF87HP4
1,pp,1,20.79,20.79,https://www.biuky.co.uk/man/gillette/p-39840
1,pp,1,21.83,21.83,https://www.ebay.co.uk/itm/402218864643
1,pp,1,23.2,23.2,https://www.ebay.co.uk/itm/233551034438
1,pp,1,23.58,23.58,https://www.ebay.co.uk/itm/324010278388
1,pp,1,24.22,24.22,https://www.ebay.co.uk/itm/153927704315
8,pp,8,209.37,26.17125,https://www.amazon.co.uk/dp/B01DC0ZO9G
1,pp,2,55.08,27.54,https://www.ebay.co.uk/itm/193326369320
1,pp,1,27.98,27.98,https://www.ebay.co.uk/itm/283884067977
1,pp,1,28.87,28.87,https://www.ebay.co.uk/itm/151755678470
1,pp,1,33.48,33.48,https://www.amazon.co.uk/dp/B005SPMINE
